              1   1        Seq               Begin       >       [0x3fec, line 0x3fc0] ST PC 290 0x122
              2   1    L1Cache               Store     NP>IM     [0x3fc0, line 0x3fc0] 
             10   0    L2Cache             L1_GETX     NP>IM     [0x3fc0, line 0x3fc0] 
             11   3        Seq               Begin       >       [0x46ec, line 0x46c0] ST PC 297 0x129
             12   3    L1Cache               Store     NP>IM     [0x46c0, line 0x46c0] 
             18   0  Directory               Fetch      I>IM     [0x3fc0, line 0x3fc0] 
             20   0    L2Cache             L1_GETX     NP>IM     [0x46c0, line 0x46c0] 
             21   2        Seq               Begin       >       [0xdec, line 0xdc0] ST PC 240 0xf0
             22   2    L1Cache               Store     NP>IM     [0xdc0, line 0xdc0] 
             28   0  Directory               Fetch      I>IM     [0x46c0, line 0x46c0] 
             30   0    L2CacheL2_Replacement_clean     IM>IM     [0x3fc0, line 0x3fc0] 
             31   3        Seq               Begin       >       [0x36e8, line 0x36c0] ST PC 182 0xb6
             32   3    L1Cache               Store     NP>IM     [0x36c0, line 0x36c0] 
             40   0    L2CacheL2_Replacement_clean     IM>IM     [0x3fc0, line 0x3fc0] 
             41   1        Seq               Begin       >       [0x1be8, line 0x1bc0] ST PC 155 0x9b
             42   1    L1Cache               Store     NP>IM     [0x1bc0, line 0x1bc0] 
             50   0    L2CacheL2_Replacement_clean     IM>IM     [0x3fc0, line 0x3fc0] 
             51   2        Seq               Begin       >       [0x3bec, line 0x3bc0] ST PC 286 0x11e
             52   2    L1Cache               Store     NP>IM     [0x3bc0, line 0x3bc0] 
             60   0    L2CacheL2_Replacement_clean     IM>IM     [0x3fc0, line 0x3fc0] 
             61   0        Seq               Begin       >       [0x58ec, line 0x58c0] ST PC 315 0x13b
             62   0    L1Cache               Store     NP>IM     [0x58c0, line 0x58c0] 
             70   0    L2CacheL2_Replacement_clean     IM>IM     [0x3fc0, line 0x3fc0] 
             71   1        Seq               Begin       >       [0x424, line 0x400] ST PC 115 0x73
             72   1    L1Cache               Store     NP>IM     [0x400, line 0x400] 
             73   0  Directory         Memory_Data     IM>M      [0x3fc0, line 0x3fc0] 
             80   0    L2Cache            Mem_Data     IM>MT_MB  [0x3fc0, line 0x3fc0] 
             81   1        Seq               Begin       >       [0x2dec, line 0x2dc0] ST PC 272 0x110
             82   1    L1Cache      L1_Replacement     IM>IM     [0x3fc0, line 0x3fc0] 
             83   0  Directory         Memory_Data     IM>M      [0x46c0, line 0x46c0] 
             84   0    L2Cache             L1_GETX     NP>IM     [0x400, line 0x400] 
             87 core  1        Seq                Done       >       [0x3fec, line 0x3fc0] 86 cycles
             87   1    L1Cache       Data_all_Acks     IM>M      [0x3fc0, line 0x3fc0] 
             87   1    L1Cache      L1_Replacement     IM>IM     [0x1bc0, line 0x1bc0] 
             90   0    L2Cache            Mem_Data     IM>MT_MB  [0x46c0, line 0x46c0] 
             91   3        Seq               Begin       >       [0x428, line 0x400] ST PC 116 0x74
             92   3    L1Cache               Store     NP>IM     [0x400, line 0x400] 
             92   0  Directory               Fetch      I>IM     [0x400, line 0x400] 
             94   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x3fc0, line 0x3fc0] 
             94   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x3fc0, line 0x3fc0] 
             94   0    L2Cache             L1_GETX     NP>IM     [0xdc0, line 0xdc0] 
